node_id,candidate_group,ml_score,ris_score,fair_ris_score,candidate_group_shortfall_ratio,dynamic_shortfall_bonus,shortfall_weighted_fair_ris_score,fairness_bonus,weak_group_bonus,community_diversity_bonus,cluster_diversity_bonus,cluster_coverage_bonus,ingroup_ris_score,protected_group_coverage_bonus,spread_proxy_score,under_served_group_bonus,over_served_group_penalty,parity_adjusted_score,base_combined_score,target_deficit_adjusted_score,combined_score,score_normalization
1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.8333333333333334,0.0,0.0,0.0,0.0,0.6107933752163384,0.0,0.0,0.7518931076622929,0.7518931076622929,0.7518931076622929,0.7518931076622929,global
10,1,0.1896891909788934,0.5,0.25,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.4869914497831161,0.0,0.0,1.2275790135984719,1.2275790135984719,1.2275790135984719,1.2275790135984719,global
100,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.6044607582043787,0.0,0.0,0.6584509699484182,0.6584509699484182,0.6584509699484182,0.6584509699484182,global
101,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.4023277227324561,0.0,0.0,0.4109310890929825,0.4109310890929825,0.4109310890929825,0.4109310890929825,global
102,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.8060725435702892,0.0,0.0,0.7390956840947824,0.7390956840947824,0.7390956840947824,0.7390956840947824,global
103,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3771280310574876,0.0,0.0,0.40085121242299504,0.40085121242299504,0.40085121242299504,0.40085121242299504,global
104,1,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.0,0.0,0.0,0.0,0.5100307021048163,0.0,0.0,0.6484567252863709,0.6484567252863709,0.6484567252863709,0.6484567252863709,global
105,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.7456305437354583,0.0,0.0,0.71491888416085,0.71491888416085,0.71491888416085,0.71491888416085,global
106,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.30522313306532617,0.0,0.0,0.28875591989279714,0.28875591989279714,0.28875591989279714,0.28875591989279714,global
107,1,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.5,0.0,0.0,0.0,0.0,0.38988141851657765,0.0,0.0,0.5309525674066311,0.5309525674066311,0.5309525674066311,0.5309525674066311,global
108,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.5540964260094746,0.0,0.0,0.5549719037371232,0.5549719037371232,0.5549719037371232,0.5549719037371232,global
109,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.331761511786972,0.0,0.0,0.2993712713814555,0.2993712713814555,0.2993712713814555,0.2993712713814555,global
11,1,0.18968620955223994,0.5,0.25,0.0,0.0,0.25,0.14285714285714285,0.14285714285714285,0.5,0.0,0.0,0.0,0.0,0.36034199116711885,0.0,0.0,1.3197742860105584,1.3197742860105584,1.3197742860105584,1.3197742860105584,global
110,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.615426718966497,0.0,0.0,0.5795040209199321,0.5795040209199321,0.5795040209199321,0.5795040209199321,global
111,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.27202787516809546,0.0,0.0,0.2754778167339048,0.2754778167339048,0.2754778167339048,0.2754778167339048,global
112,1,0.1896891909788934,0.5,0.25,0.0,0.0,0.25,0.5,0.5,0.16666666666666666,0.0,0.0,0.0,0.0,0.09407153392734362,0.0,0.0,1.403744380589496,1.403744380589496,1.403744380589496,1.403744380589496,global
113,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.4514597200585881,0.0,0.0,0.4305838880234353,0.4305838880234353,0.4305838880234353,0.4305838880234353,global
114,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.6033967590842256,0.0,0.0,0.5746920369670236,0.5746920369670236,0.5746920369670236,0.5746920369670236,global
115,1,0.189714140812467,0.5,0.25,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.6004980210911126,0.0,0.0,1.2729991070051718,1.2729991070051718,1.2729991070051718,1.2729991070051718,global
116,1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.6666666666666666,0.0,0.0,0.0,0.0,0.34153210494555175,0.0,0.0,0.6699461753115541,0.6699461753115541,0.6699461753115541,0.6699461753115541,global
117,1,0.18968620955223994,0.5,0.25,0.0,0.0,0.25,0.25,0.25,0.3333333333333333,0.0,0.0,0.0,0.0,0.21459053384750607,0.0,0.0,1.2852832268922372,1.2852832268922372,1.2852832268922372,1.2852832268922372,global
118,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.35242593473410416,0.0,0.0,0.30763704056030833,0.30763704056030833,0.30763704056030833,0.30763704056030833,global
119,1,0.1897172006977166,0.5,0.25,0.0,0.0,0.25,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.3326661067454967,0.0,0.0,1.0825351498532667,1.0825351498532667,1.0825351498532667,1.0825351498532667,global
12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.2808014014456602,0.0,0.0,0.27898722724493075,0.27898722724493075,0.27898722724493075,0.27898722724493075,global
120,1,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.6666666666666666,0.0,0.0,0.0,0.0,0.4028022579090526,0.0,0.0,0.6373113793540972,0.6373113793540972,0.6373113793540972,0.6373113793540972,global
121,1,0.1896891909788934,0.5,0.25,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.36401288133226756,0.0,0.0,1.1783875862181323,1.1783875862181323,1.1783875862181323,1.1783875862181323,global
122,1,0.7831289853043911,1.0,0.5,0.0,0.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.18365775973356552,0.0,0.0,2.0049867269398334,2.0049867269398334,2.0049867269398334,2.0049867269398334,global
123,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.5387869891116697,0.0,0.0,0.6321814623113345,0.6321814623113345,0.6321814623113345,0.6321814623113345,global
124,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.6641461345953745,0.0,0.0,0.6823251205048165,0.6823251205048165,0.6823251205048165,0.6823251205048165,global
125,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.4702141794444623,0.0,0.0,0.3547523384444516,0.3547523384444516,0.3547523384444516,0.3547523384444516,global
126,1,0.1897558023270192,0.5,0.25,0.0,0.0,0.25,0.14285714285714285,0.14285714285714285,0.5,0.0,0.0,0.0,0.0,0.3593719592775375,0.0,0.0,1.319434988197071,1.319434988197071,1.319434988197071,1.319434988197071,global
127,1,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.5,0.0,0.0,0.0,0.0,0.5238369370389808,0.0,0.0,0.5504438657246833,0.5504438657246833,0.5504438657246833,0.5504438657246833,global
128,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.5732280691263235,0.0,0.0,0.6459578943171961,0.6459578943171961,0.6459578943171961,0.6459578943171961,global
