community_id,community_size
0,479
1,136
2,234
3,89
4,74
5,71
6,24
7,204
8,64
9,106
10,71
11,2
12,3
13,304
14,80
15,112
16,287
17,19
18,231
19,203
20,59
21,85
22,65
23,78
24,4
25,333
26,40
27,21
28,38
29,2
30,7
31,3
32,2
33,2
34,3
35,4
36,2
37,2
38,3
39,12
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,6
49,2
50,6
51,2
52,2
53,6
54,2
55,3
56,2
57,2
58,2
59,2
60,2
61,2
62,4
63,3
64,2
65,2
66,3
67,2
68,2
69,3
70,3
71,2
72,2
73,2
74,2
75,2
76,4
77,2
78,2
79,4
80,2
81,3
82,2
83,2
84,4
85,3
86,3
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,3
97,2
98,2
99,2
100,2
101,3
102,5
103,2
104,2
105,2
106,9
107,2
108,2
109,2
110,2
111,2
112,2
113,3
114,2
115,2
116,2
