node_id,ml_score,ris_score,fair_ris_score,fairness_bonus,weak_group_bonus,community_diversity_bonus,cluster_diversity_bonus,cluster_coverage_bonus,protected_group_coverage_bonus,spread_proxy_score,under_served_group_bonus,over_served_group_penalty,parity_adjusted_score,base_combined_score,combined_score,score_normalization
1,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.8333333333333334,0.0,0.0,0.0,0.6107933752163384,0.0,0.0,0.7700749258441111,0.7700749258441111,0.7700749258441111,global
10,0.18962391950791782,0.5,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.4869914497831161,0.0,0.0,1.2464957155195808,1.2464957155195808,1.2464957155195808,global
100,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.6044607582043787,0.0,0.0,0.6584509699484182,0.6584509699484182,0.6584509699484182,global
101,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4023277227324561,0.0,0.0,0.4109310890929825,0.4109310890929825,0.4109310890929825,global
102,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.8060725435702892,0.0,0.0,0.7390956840947824,0.7390956840947824,0.7390956840947824,global
103,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3771280310574876,0.0,0.0,0.40085121242299504,0.40085121242299504,0.40085121242299504,global
104,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.0,0.0,0.0,0.5100307021048163,0.0,0.0,0.6706789475085932,0.6706789475085932,0.6706789475085932,global
105,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.7456305437354583,0.0,0.0,0.71491888416085,0.71491888416085,0.71491888416085,global
106,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.30522313306532617,0.0,0.0,0.28875591989279714,0.28875591989279714,0.28875591989279714,global
107,0.0,0.0,0.0,0.125,0.125,0.5,0.0,0.0,0.0,0.38988141851657765,0.0,0.0,0.5559525674066311,0.5559525674066311,0.5559525674066311,global
108,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.5540964260094746,0.0,0.0,0.5549719037371232,0.5549719037371232,0.5549719037371232,global
109,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.331761511786972,0.0,0.0,0.2993712713814555,0.2993712713814555,0.2993712713814555,global
11,0.18962391950791782,0.5,0.25,0.14285714285714285,0.14285714285714285,0.5,0.0,0.0,0.0,0.36034199116711885,0.0,0.0,1.3672645035017532,1.3672645035017532,1.3672645035017532,global
110,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.615426718966497,0.0,0.0,0.5795040209199321,0.5795040209199321,0.5795040209199321,global
111,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.27202787516809546,0.0,0.0,0.2754778167339048,0.2754778167339048,0.2754778167339048,global
112,0.1898717360947839,0.5,0.25,0.5,0.5,0.16666666666666666,0.0,0.0,0.0,0.09407153392734362,0.0,0.0,1.5228593357800977,1.5228593357800977,1.5228593357800977,global
113,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.4514597200585881,0.0,0.0,0.4305838880234353,0.4305838880234353,0.4305838880234353,global
114,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.6033967590842256,0.0,0.0,0.5746920369670236,0.5746920369670236,0.5746920369670236,global
115,0.18962391950791782,0.5,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.6004980210911126,0.0,0.0,1.2918983440427794,1.2918983440427794,1.2918983440427794,global
116,0.0,0.0,0.0,0.2,0.2,0.6666666666666666,0.0,0.0,0.0,0.34153210494555175,0.0,0.0,0.7099461753115539,0.7099461753115539,0.7099461753115539,global
