generation,best_score,best_fitness,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,local_search_improvements,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,2.41022225670336,2.41022225670336,0.11127082780475155,2.41022225670336,146.70225563909776,0.25925925925925924,0.03671760364975615,2.2533230048071538,0.33113578732310195,"[114, 139, 140, 179, 204, 238, 241, 248, 250, 252, 254, 302, 309, 315, 33, 334, 340, 344, 345, 348, 356, 403, 405, 429, 434, 440, 442, 444, 446, 447, 458, 470, 474, 475, 58, 63, 80, 81, 90, 92]",4,4,0,0,41,0,13.942857142857143,1.0,"white,latino,black",0.366588693957115,0.4004678362573099,0.04181471097838038,"asian,other","latino,white"
1,2.41022225670336,2.41022225670336,0.11127082780475155,2.41022225670336,146.70225563909776,0.25925925925925924,0.03671760364975615,2.174568390565159,0.3320838291055198,"[114, 139, 140, 179, 204, 238, 241, 248, 250, 252, 254, 302, 309, 315, 33, 334, 340, 344, 345, 348, 356, 403, 405, 429, 434, 440, 442, 444, 446, 447, 458, 470, 474, 475, 58, 63, 80, 81, 90, 92]",8,4,0,0,15,0,13.942857142857143,1.0,"white,latino,black",0.366588693957115,0.4004678362573099,0.04181471097838038,"asian,other","latino,white"
2,2.41022225670336,2.41022225670336,0.11127082780475155,2.41022225670336,146.70225563909776,0.25925925925925924,0.03671760364975615,2.2884494970403773,0.31430259912687386,"[114, 139, 140, 179, 204, 238, 241, 248, 250, 252, 254, 302, 309, 315, 33, 334, 340, 344, 345, 348, 356, 403, 405, 429, 434, 440, 442, 444, 446, 447, 458, 470, 474, 475, 58, 63, 80, 81, 90, 92]",12,4,0,0,16,0,13.942857142857143,1.0,"white,latino,black",0.366588693957115,0.4004678362573099,0.04181471097838038,"asian,other","latino,white"
3,2.41022225670336,2.41022225670336,0.11127082780475155,2.41022225670336,146.70225563909776,0.25925925925925924,0.03671760364975615,2.296993309165753,0.28104568045657174,"[114, 139, 140, 179, 204, 238, 241, 248, 250, 252, 254, 302, 309, 315, 33, 334, 340, 344, 345, 348, 356, 403, 405, 429, 434, 440, 442, 444, 446, 447, 458, 470, 474, 475, 58, 63, 80, 81, 90, 92]",16,4,0,0,15,0,13.942857142857143,1.0,"white,latino,black",0.366588693957115,0.4004678362573099,0.04181471097838038,"asian,other","latino,white"
4,2.41022225670336,2.41022225670336,0.11127082780475155,2.41022225670336,146.70225563909776,0.25925925925925924,0.03671760364975615,2.301851302333577,0.29130686124913685,"[114, 139, 140, 179, 204, 238, 241, 248, 250, 252, 254, 302, 309, 315, 33, 334, 340, 344, 345, 348, 356, 403, 405, 429, 434, 440, 442, 444, 446, 447, 458, 470, 474, 475, 58, 63, 80, 81, 90, 92]",20,4,0,0,7,0,13.942857142857143,1.0,"white,latino,black",0.366588693957115,0.4004678362573099,0.04181471097838038,"asian,other","latino,white"
5,2.41022225670336,2.41022225670336,0.11127082780475155,2.41022225670336,146.70225563909776,0.25925925925925924,0.03671760364975615,2.2859614198541687,0.28001481870880807,"[114, 139, 140, 179, 204, 238, 241, 248, 250, 252, 254, 302, 309, 315, 33, 334, 340, 344, 345, 348, 356, 403, 405, 429, 434, 440, 442, 444, 446, 447, 458, 470, 474, 475, 58, 63, 80, 81, 90, 92]",24,4,0,0,9,0,13.942857142857143,1.0,"white,latino,black",0.366588693957115,0.4004678362573099,0.04181471097838038,"asian,other","latino,white"
6,2.41022225670336,2.41022225670336,0.11127082780475155,2.41022225670336,146.70225563909776,0.25925925925925924,0.03671760364975615,2.316235506554679,0.2793686157935546,"[114, 139, 140, 179, 204, 238, 241, 248, 250, 252, 254, 302, 309, 315, 33, 334, 340, 344, 345, 348, 356, 403, 405, 429, 434, 440, 442, 444, 446, 447, 458, 470, 474, 475, 58, 63, 80, 81, 90, 92]",28,4,0,0,6,0,13.942857142857143,1.0,"white,latino,black",0.366588693957115,0.4004678362573099,0.04181471097838038,"asian,other","latino,white"
7,2.41022225670336,2.41022225670336,0.11127082780475155,2.41022225670336,146.70225563909776,0.25925925925925924,0.03671760364975615,2.302567839641328,0.2826697142444952,"[114, 139, 140, 179, 204, 238, 241, 248, 250, 252, 254, 302, 309, 315, 33, 334, 340, 344, 345, 348, 356, 403, 405, 429, 434, 440, 442, 444, 446, 447, 458, 470, 474, 475, 58, 63, 80, 81, 90, 92]",32,4,0,0,8,0,13.942857142857143,1.0,"white,latino,black",0.366588693957115,0.4004678362573099,0.04181471097838038,"asian,other","latino,white"
8,2.41022225670336,2.41022225670336,0.11127082780475155,2.41022225670336,146.70225563909776,0.25925925925925924,0.03671760364975615,2.312314988572174,0.27983939551669523,"[114, 139, 140, 179, 204, 238, 241, 248, 250, 252, 254, 302, 309, 315, 33, 334, 340, 344, 345, 348, 356, 403, 405, 429, 434, 440, 442, 444, 446, 447, 458, 470, 474, 475, 58, 63, 80, 81, 90, 92]",36,4,1,0,10,0,13.942857142857143,1.0,"white,latino,black",0.366588693957115,0.4004678362573099,0.04181471097838038,"asian,other","latino,white"
9,2.41022225670336,2.41022225670336,0.11127082780475155,2.41022225670336,146.70225563909776,0.25925925925925924,0.03671760364975615,2.209927154546932,0.28209779037729643,"[114, 139, 140, 179, 204, 238, 241, 248, 250, 252, 254, 302, 309, 315, 33, 334, 340, 344, 345, 348, 356, 403, 405, 429, 434, 440, 442, 444, 446, 447, 458, 470, 474, 475, 58, 63, 80, 81, 90, 92]",40,4,0,0,6,0,13.942857142857143,1.0,"white,latino,black",0.366588693957115,0.4004678362573099,0.04181471097838038,"asian,other","latino,white"
